"[1, 2, 1, 1] 0.0"
"[1, 2, 2, 1] 0.0"
"[1, 4, 1, 1] 1.1706102117061021"
"[1, 4, 2, 1] 0.0"
"[1, 5, 1, 1] 0.21170610211706117"
"[1, 5, 2, 1] 0.18057285180572816"
"[1, 6, 1, 1] 0.0"
"[1, 6, 2, 1] 0.0"
"[1, 7, 1, 1] 0.0"
"[1, 7, 2, 1] 0.0"
"[1, 11, 1, 1] 0.0"
"[1, 11, 2, 1] 0.0"
"[1, 12, 1, 1] 0.0"
"[1, 12, 2, 1] 0.0"
"[1, 13, 1, 1] 0.0"
"[1, 13, 2, 1] 0.2755292652552921"
"[1, 14, 1, 1] 0.0"
"[1, 14, 2, 1] 0.0"
"[1, 15, 1, 1] 0.0"
"[1, 15, 2, 1] 0.0"
"[1, 16, 1, 1] 0.0"
"[1, 16, 2, 1] 0.0"
"[1, 17, 1, 1] 0.0"
"[1, 17, 2, 1] 0.0"
"[1, 18, 1, 1] 0.0"
"[1, 18, 2, 1] 0.0"
"[1, 22, 1, 1] 0.9682440846824389"
"[1, 22, 2, 1] 0.22727272727272746"
"[1, 23, 1, 1] 1.52241594022416"
"[1, 23, 2, 1] 0.0"
"[1, 24, 1, 1] 0.0"
"[1, 24, 2, 1] 0.0"
"[1, 25, 1, 1] 0.0"
"[1, 25, 2, 1] 0.0"
"[1, 27, 1, 1] 0.0"
"[1, 27, 2, 1] 0.0"
"[2, 2, 2, 1] 0.0"
"[2, 4, 1, 1] 0.0"
"[2, 4, 2, 1] 0.0"
"[2, 5, 1, 1] 0.05292652552926529"
"[2, 5, 2, 1] 0.0"
"[2, 6, 1, 1] 0.0"
"[2, 6, 2, 1] 0.0"
"[2, 7, 1, 1] 0.7752179327521791"
"[2, 7, 2, 1] 0.6724782067247815"
"[2, 11, 1, 1] 2.652552926525529"
"[2, 11, 2, 1] 0.07471980074719796"
"[2, 12, 1, 1] 1.5551058530510584"
"[2, 12, 2, 1] 1.0056039850560392"
"[2, 13, 1, 1] 0.0"
"[2, 13, 2, 1] 0.0"
"[2, 14, 1, 1] 0.0"
"[2, 14, 2, 1] 0.0"
"[2, 15, 1, 1] 0.2241594022415942"
"[2, 15, 2, 1] 2.115504358655043"
"[2, 16, 1, 1] 0.0"
"[2, 16, 2, 1] 0.0"
"[2, 17, 1, 1] 0.0"
"[2, 17, 2, 1] 0.0"
"[2, 18, 1, 1] 1.382316313823163"
"[2, 18, 2, 1] 0.0"
"[2, 22, 1, 1] 0.0"
"[2, 22, 2, 1] 1.606475716064756"
"[2, 23, 1, 1] 0.0"
"[2, 23, 2, 1] 0.0"
"[2, 24, 1, 1] 0.0"
"[2, 24, 2, 1] 0.2117061021170606"
"[2, 25, 1, 1] 0.0"
"[2, 25, 2, 1] 0.0"
"[2, 25, 3, 1] 0.0"
"[2, 27, 1, 1] 0.0"
"[2, 27, 2, 1] 0.0"
"[3, 2, 1, 1] 0.0"
"[3, 2, 2, 1] 0.0"
"[3, 4, 1, 1] 3.4557907845579066"
"[3, 4, 2, 1] 0.2848692403486918"
"[3, 5, 2, 1] 0.0"
"[3, 6, 1, 1] 1.8991282689912818"
"[3, 6, 2, 1] 0.0"
"[3, 7, 2, 1] 0.07160647571606481"
"[3, 12, 1, 1] 0.0"
"[3, 12, 2, 1] 0.0"
"[3, 13, 2, 1] 0.0"
"[3, 15, 1, 1] 1.8539850560398503"
"[3, 15, 2, 1] 0.29109589041095874"
"[3, 16, 1, 1] 5.230386052303859"
"[3, 16, 2, 1] 2.5965130759651296"
"[3, 17, 1, 1] 0.8312577833125778"
"[3, 17, 2, 1] 0.0"
"[3, 23, 1, 1] 0.1120797011207971"
"[3, 23, 2, 1] 2.026774595267746"
"[3, 24, 1, 1] 0.0"
"[3, 24, 2, 1] 0.06693648816936493"
"[3, 25, 1, 1] 0.39227895392278933"
"[3, 25, 2, 1] 0.8592777085927765"
"[3, 26, 1, 1] 1.6562889165628893"
"[3, 26, 2, 1] 0.0"
"[4, 2, 1, 1] 0.0"
"[4, 2, 2, 1] 0.0"
"[4, 4, 1, 1] 0.0"
"[4, 4, 2, 1] 0.1774595267745949"
"[4, 5, 1, 1] 0.0"
"[4, 5, 2, 1] 0.0"
"[4, 6, 1, 1] 0.0"
"[4, 6, 2, 1] 0.424968866749689"
"[4, 7, 1, 1] 0.0"
"[4, 7, 2, 1] 0.0"
"[4, 12, 1, 1] 0.0"
"[4, 12, 2, 1] 0.0"
"[5, 2, 1, 1] 0.0"
"[5, 2, 2, 1] 0.0"
"[5, 4, 1, 1] 2.529576587795765"
"[5, 4, 2, 1] 0.5417185554171853"
"[5, 5, 1, 1] 0.9806973848069747"
"[5, 5, 2, 1] 0.0"
"[5, 6, 1, 1] 0.0"
"[5, 6, 2, 1] 0.0"
"[5, 7, 1, 1] 0.23972602739726045"
"[5, 7, 2, 1] 0.0"
"[5, 11, 1, 1] 0.0"
"[5, 11, 2, 1] 0.0"
"[5, 12, 1, 1] 0.0"
"[5, 12, 2, 1] 0.0"
"[5, 13, 1, 1] 0.2895392278953917"
"[5, 13, 2, 1] 0.0"
"[5, 14, 1, 1] 0.0"
"[5, 14, 2, 1] 0.0"
"[5, 15, 1, 1] 0.575965130759651"
"[5, 15, 2, 1] 0.0"
"[5, 16, 1, 1] 0.4420921544209212"
"[5, 16, 2, 1] 0.0"
"[5, 17, 1, 1] 0.0"
"[5, 17, 2, 1] 0.0"
"[5, 18, 1, 1] 0.3066625155666254"
"[5, 22, 1, 1] 1.164383561643835"
"[5, 22, 2, 1] 0.0"
"[5, 23, 1, 1] 0.0"
"[5, 23, 2, 1] 0.0"
"[5, 24, 1, 1] 0.8623910336239098"
"[5, 24, 2, 1] 0.0"
"[5, 25, 1, 1] 0.8312577833125773"
"[5, 25, 2, 1] 0.0"
"[6, 2, 1, 1] 0.0"
"[6, 2, 3, 1] 0.0"
"[6, 4, 1, 1] 1.2328767123287674"
"[6, 4, 2, 1] 0.0"
"[6, 6, 1, 1] 0.21326276463262722"
"[6, 11, 1, 1] 0.0"
"[6, 11, 2, 1] 0.0"
"[6, 12, 1, 1] 0.0"
"[6, 12, 2, 1] 0.0"
"[6, 13, 1, 1] 0.0"
"[6, 13, 2, 1] 0.0"
"[6, 14, 1, 1] 2.5918430884184307"
"[6, 14, 2, 1] 0.0"
"[6, 15, 1, 1] 0.33623910336239127"
"[6, 15, 2, 1] 0.2241594022415942"
"[6, 16, 1, 1] 0.0"
"[6, 16, 2, 1] 0.0"
"[6, 17, 1, 1] 3.922789539227894"
"[6, 17, 2, 1] 0.6693648816936484"
"[6, 18, 1, 1] 0.4934620174346205"
"[6, 23, 1, 1] 0.0"
"[6, 23, 2, 1] 0.19613947696139494"
"[6, 24, 1, 1] 0.18057285180572816"
"[6, 24, 2, 1] 0.0"
"[6, 25, 1, 1] 0.0"
"[6, 25, 2, 1] 0.21170610211706117"
"[6, 26, 1, 1] 0.3035491905354921"
"[6, 26, 2, 1] 1.463262764632627"
"[7, 4, 1, 1] 0.6740348692403492"
"[7, 4, 2, 1] 0.1556662515566625"
"[7, 4, 3, 1] 0.0"
"[7, 5, 1, 1] 0.0"
"[7, 7, 2, 1] 0.0"
"[7, 7, 3, 1] 0.14476961394769625"
"[7, 8, 1, 1] 0.38138231631382347"
"[7, 8, 2, 1] 0.0"
"[7, 9, 1, 1] 0.8250311332503107"
"[7, 9, 2, 1] 0.0"
"[7, 10, 1, 1] 4.825653798256537"
"[7, 10, 2, 1] 0.5666251556662519"
"[7, 14, 1, 1] 0.06849315068493136"
"[7, 14, 2, 1] 0.0"
"[7, 15, 1, 1] 2.534246575342465"
"[7, 15, 2, 1] 0.0"
"[7, 16, 1, 1] 0.11363636363636373"
"[7, 16, 2, 1] 0.0"
"[8, 3, 1, 1] 0.0"
"[8, 3, 2, 1] 0.0"
"[8, 4, 3, 1] 0.0"
"[8, 5, 1, 1] 0.07938978829389771"
"[8, 5, 2, 1] 0.0"
"[8, 6, 1, 1] 0.30354919053549134"
"[8, 7, 1, 1] 1.8244084682440858"
"[8, 7, 2, 1] 0.8312577833125785"
"[8, 8, 1, 1] 1.938044831880448"
"[8, 8, 2, 1] 1.170610211706103"
"[8, 9, 1, 1] 6.570672478206724"
"[8, 9, 2, 1] 2.0174346201743463"
"[8, 10, 1, 1] 2.5155666251556665"
"[8, 10, 2, 1] 0.0"
"[8, 15, 1, 1] 10.0"
"[8, 15, 2, 1] 2.9810087173100857"
"[8, 16, 1, 1] 1.2001867995018678"
"[8, 16, 2, 1] 1.039850560398505"
"[8, 17, 1, 1] 1.6204856787048567"
"[8, 17, 2, 1] 0.0"
"[8, 18, 1, 1] 2.4470734744707348"
"[8, 18, 2, 1] 1.1394769613947704"
"[9, 3, 2, 1] 0.0"
"[9, 4, 1, 1] 0.0"
"[9, 6, 1, 1] 2.932752179327522"
"[9, 6, 2, 1] 0.0"
"[9, 7, 1, 1] 0.0"
"[9, 7, 2, 1] 0.11519302615193033"
"[9, 8, 3, 1] 0.0"
"[9, 9, 1, 1] 0.7036114570361146"
"[9, 9, 2, 1] 0.0"
"[9, 10, 1, 1] 3.922789539227894"
"[9, 10, 2, 1] 3.8356164383561646"
"[9, 14, 1, 1] 5.121419676214199"
"[9, 14, 2, 1] 0.0"
"[9, 15, 1, 1] 1.0881070983810708"
"[9, 15, 2, 1] 0.0"
"[9, 16, 1, 1] 0.0"
"[9, 16, 2, 1] 0.0"
"[9, 17, 1, 1] 0.0"
"[9, 19, 1, 1] 0.0"
"[9, 19, 3, 1] 0.0"
"[10, 3, 1, 1] 0.11207970112079693"
"[10, 4, 2, 1] 0.0"
"[10, 5, 1, 1] 0.33935242839352453"
"[10, 6, 1, 1] 1.8306351183063507"
"[10, 6, 2, 1] 0.14321295143212923"
"[10, 7, 1, 1] 0.3533623910336242"
"[10, 7, 2, 1] 0.16344956413449577"
"[10, 9, 1, 1] 1.0460772104607716"
"[10, 9, 2, 1] 0.0"
"[10, 10, 2, 1] 0.38138231631382347"
"[10, 18, 3, 1] 1.4445828144458273"
"[10, 18, 4, 1] 0.0"
"[10, 19, 1, 1] 0.4296388542963877"
"[10, 19, 2, 1] 0.8779576587795759"
"[10, 19, 3, 1] 0.0"
"[11, 2, 1, 1] 0.0"
"[11, 2, 2, 1] 0.0"
"[11, 4, 1, 1] 0.0"
"[11, 4, 2, 1] 0.0"
"[11, 6, 1, 1] 1.0429638854296381"
"[11, 6, 2, 1] 1.4165628891656281"
"[11, 11, 1, 1] 2.0859277708592776"
"[11, 11, 2, 1] 0.5479452054794517"
"[11, 12, 1, 1] 1.4663760896637612"
"[11, 12, 2, 1] 0.0"
"[11, 13, 1, 1] 1.4570361145703608"
"[11, 13, 2, 1] 0.34557907845579106"
"[11, 14, 1, 1] 0.0"
"[11, 14, 2, 1] 1.5006226650062258"
"[11, 15, 1, 1] 0.0"
"[11, 15, 2, 1] 0.0"
"[11, 16, 1, 1] 1.153486924034869"
"[11, 16, 2, 1] 0.0"
"[11, 17, 2, 1] 0.27397260273972623"
"[11, 18, 1, 1] 4.604607721046076"
"[11, 18, 2, 1] 0.10429638854296368"
"[11, 24, 1, 1] 1.5177459526774593"
"[11, 25, 2, 1] 1.6018057285180571"
"[11, 27, 1, 1] 0.0"
"[11, 27, 2, 1] 0.6008717310087177"
"[12, 2, 1, 1] 0.0"
"[12, 4, 1, 1] 2.895392278953921"
"[12, 5, 2, 1] 0.3969489414694898"
"[12, 6, 1, 1] 4.707347447073475"
"[12, 6, 2, 1] 0.14788293897882948"
"[12, 7, 1, 1] 0.0"
"[12, 7, 2, 1] 0.0"
"[12, 12, 1, 1] 0.0"
"[12, 12, 2, 1] 0.0"
"[12, 13, 2, 1] 0.0"
"[12, 13, 3, 1] 0.0"
"[12, 14, 1, 1] 0.0"
"[12, 14, 2, 1] 1.0678704856787042"
"[12, 15, 1, 1] 0.0"
"[12, 16, 1, 1] 0.0"
"[12, 16, 2, 1] 0.0"
"[12, 17, 2, 1] 0.0"
"[12, 18, 1, 1] 0.267745952677459"
"[12, 18, 2, 1] 0.0"
"[12, 19, 1, 1] 1.2515566625155674"
"[12, 23, 2, 1] 3.3250311332503113"
"[12, 24, 1, 1] 3.38107098381071"
"[12, 24, 2, 1] 3.6892901618929"
"[12, 25, 1, 1] 1.6485056039850556"
"[12, 25, 2, 1] 3.614570361145703"
"[12, 26, 1, 1] 3.2378580323785795"
"[12, 26, 2, 1] 0.0"
"[12, 29, 1, 1] 0.0"
"[12, 29, 2, 1] 0.0"
