"[1, 1, 2, 0]",3.3333333333333335
"[1, 1, 3, 0]",6.666666666666667
"[1, 2, 1, 0]",3.3333333333333335
"[1, 2, 2, 0]",3.3333333333333335
"[1, 4, 1, 0]",3.3333333333333335
"[1, 4, 2, 0]",3.3333333333333335
"[1, 4, 3, 0]",6.666666666666667
"[1, 4, 4, 0]",6.666666666666667
"[1, 5, 2, 0]",0
"[1, 5, 3, 0]",3.3333333333333335
"[1, 5, 4, 0]",6.666666666666667
"[1, 5, 5, 0]",6.666666666666667
"[1, 5, 6, 0]",6.666666666666667
"[1, 6, 1, 0]",3.3333333333333335
"[1, 6, 2, 0]",3.3333333333333335
"[1, 6, 3, 0]",3.3333333333333335
"[1, 6, 5, 0]",10.0
"[1, 6, 6, 0]",3.3333333333333335
"[1, 10, 1, 0]",3.3333333333333335
"[1, 10, 2, 0]",6.666666666666667
"[1, 10, 4, 0]",6.666666666666667
"[1, 10, 5, 0]",3.3333333333333335
"[1, 10, 6, 0]",0
"[1, 11, 2, 0]",3.3333333333333335
"[1, 11, 3, 0]",3.3333333333333335
"[1, 11, 4, 0]",0
"[1, 11, 5, 0]",6.666666666666667
"[1, 11, 6, 0]",6.666666666666667
"[1, 12, 1, 0]",3.3333333333333335
"[1, 12, 2, 0]",6.666666666666667
"[1, 12, 3, 0]",3.3333333333333335
"[1, 12, 4, 0]",10.0
"[1, 12, 5, 0]",6.666666666666667
"[1, 12, 6, 0]",6.666666666666667
"[1, 13, 1, 0]",6.666666666666667
"[1, 13, 2, 0]",6.666666666666667
"[1, 13, 3, 0]",6.666666666666667
"[1, 13, 4, 0]",6.666666666666667
"[1, 13, 5, 0]",6.666666666666667
"[1, 13, 6, 0]",3.3333333333333335
"[1, 14, 1, 0]",0
"[1, 14, 2, 0]",6.666666666666667
"[1, 14, 6, 0]",0
"[1, 15, 1, 0]",6.666666666666667
"[1, 15, 2, 0]",3.3333333333333335
"[1, 15, 3, 0]",3.3333333333333335
"[1, 15, 4, 0]",0
"[1, 15, 5, 0]",3.3333333333333335
"[1, 15, 6, 0]",0
"[1, 16, 1, 0]",6.666666666666667
"[1, 16, 2, 0]",6.666666666666667
"[1, 16, 3, 0]",6.666666666666667
"[1, 16, 4, 0]",6.666666666666667
"[1, 16, 5, 0]",0
"[1, 16, 6, 0]",0
"[1, 17, 1, 0]",6.666666666666667
"[1, 17, 2, 0]",6.666666666666667
"[1, 17, 3, 0]",3.3333333333333335
"[1, 17, 4, 0]",0
"[1, 17, 5, 0]",6.666666666666667
"[1, 17, 6, 0]",3.3333333333333335
"[1, 18, 4, 0]",6.666666666666667
"[1, 18, 5, 0]",3.3333333333333335
"[1, 18, 6, 0]",0
"[1, 19, 2, 0]",0
"[1, 19, 4, 0]",0
"[1, 19, 5, 0]",6.666666666666667
"[1, 19, 6, 0]",10.0
"[1, 20, 1, 0]",3.3333333333333335
"[1, 20, 2, 0]",3.3333333333333335
"[1, 20, 3, 0]",6.666666666666667
"[1, 20, 4, 0]",6.666666666666667
"[1, 20, 5, 0]",6.666666666666667
"[1, 20, 6, 0]",3.3333333333333335
"[1, 21, 1, 0]",6.666666666666667
"[1, 21, 2, 0]",6.666666666666667
"[1, 21, 3, 0]",3.3333333333333335
"[1, 21, 4, 0]",0
"[1, 21, 5, 0]",3.3333333333333335
"[1, 21, 6, 0]",6.666666666666667
"[1, 24, 1, 0]",6.666666666666667
"[1, 24, 2, 0]",3.3333333333333335
"[1, 24, 3, 0]",3.3333333333333335
"[1, 24, 4, 0]",3.3333333333333335
"[1, 24, 5, 0]",6.666666666666667
"[1, 24, 6, 0]",6.666666666666667
"[1, 25, 1, 0]",0
"[1, 25, 2, 0]",3.3333333333333335
"[1, 27, 1, 0]",3.3333333333333335
"[1, 27, 2, 0]",6.666666666666667
"[2, 1, 1, 0]",3.3333333333333335
"[2, 2, 1, 0]",10.0
"[2, 2, 2, 0]",3.3333333333333335
"[2, 4, 1, 0]",3.3333333333333335
"[2, 4, 2, 0]",3.3333333333333335
"[2, 4, 3, 0]",6.666666666666667
"[2, 4, 4, 0]",3.3333333333333335
"[2, 4, 5, 0]",3.3333333333333335
"[2, 4, 6, 0]",3.3333333333333335
"[2, 5, 1, 0]",3.3333333333333335
"[2, 5, 2, 0]",3.3333333333333335
"[2, 5, 3, 0]",6.666666666666667
"[2, 5, 4, 0]",6.666666666666667
"[2, 5, 5, 0]",3.3333333333333335
"[2, 5, 6, 0]",6.666666666666667
"[2, 6, 1, 0]",3.3333333333333335
"[2, 6, 2, 0]",3.3333333333333335
"[2, 6, 3, 0]",6.666666666666667
"[2, 6, 4, 0]",10.0
"[2, 6, 5, 0]",3.3333333333333335
"[2, 6, 6, 0]",3.3333333333333335
"[2, 7, 1, 0]",3.3333333333333335
"[2, 7, 2, 0]",3.3333333333333335
"[2, 7, 3, 0]",3.3333333333333335
"[2, 7, 4, 0]",3.3333333333333335
"[2, 7, 5, 0]",3.3333333333333335
"[2, 7, 6, 0]",6.666666666666667
"[2, 10, 1, 0]",0
"[2, 10, 2, 0]",0
"[2, 10, 3, 0]",3.3333333333333335
"[2, 10, 4, 0]",6.666666666666667
"[2, 10, 5, 0]",0
"[2, 10, 6, 0]",6.666666666666667
"[2, 11, 1, 0]",3.3333333333333335
"[2, 11, 2, 0]",0
"[2, 11, 3, 0]",0
"[2, 11, 4, 0]",3.3333333333333335
"[2, 11, 5, 0]",3.3333333333333335
"[2, 11, 6, 0]",6.666666666666667
"[2, 12, 1, 0]",3.3333333333333335
"[2, 12, 2, 0]",3.3333333333333335
"[2, 12, 3, 0]",3.3333333333333335
"[2, 12, 4, 0]",0
"[2, 12, 5, 0]",3.3333333333333335
"[2, 12, 6, 0]",6.666666666666667
"[2, 13, 1, 0]",0
"[2, 13, 2, 0]",0
"[2, 13, 3, 0]",3.3333333333333335
"[2, 13, 4, 0]",6.666666666666667
"[2, 13, 5, 0]",6.666666666666667
"[2, 13, 6, 0]",0
"[2, 14, 1, 0]",6.666666666666667
"[2, 14, 2, 0]",0
"[2, 14, 3, 0]",0
"[2, 14, 5, 0]",3.3333333333333335
"[2, 15, 1, 0]",0
"[2, 15, 2, 0]",3.3333333333333335
"[2, 15, 3, 0]",3.3333333333333335
"[2, 15, 4, 0]",6.666666666666667
"[2, 15, 5, 0]",10.0
"[2, 15, 6, 0]",3.3333333333333335
"[2, 16, 1, 0]",6.666666666666667
"[2, 16, 2, 0]",6.666666666666667
"[2, 16, 3, 0]",3.3333333333333335
"[2, 16, 4, 0]",3.3333333333333335
"[2, 16, 5, 0]",6.666666666666667
"[2, 16, 6, 0]",6.666666666666667
"[2, 17, 1, 0]",6.666666666666667
"[2, 17, 2, 0]",3.3333333333333335
"[2, 17, 3, 0]",3.3333333333333335
"[2, 17, 4, 0]",3.3333333333333335
"[2, 17, 5, 0]",6.666666666666667
"[2, 17, 6, 0]",6.666666666666667
"[2, 18, 1, 0]",6.666666666666667
"[2, 18, 2, 0]",6.666666666666667
"[2, 18, 3, 0]",3.3333333333333335
"[2, 18, 4, 0]",3.3333333333333335
"[2, 18, 5, 0]",3.3333333333333335
"[2, 18, 6, 0]",3.3333333333333335
"[2, 19, 1, 0]",3.3333333333333335
"[2, 19, 2, 0]",3.3333333333333335
"[2, 19, 3, 0]",6.666666666666667
"[2, 19, 4, 0]",3.3333333333333335
"[2, 19, 5, 0]",3.3333333333333335
"[2, 19, 6, 0]",3.3333333333333335
"[2, 20, 1, 0]",3.3333333333333335
"[2, 20, 2, 0]",6.666666666666667
"[2, 20, 3, 0]",3.3333333333333335
"[2, 20, 4, 0]",3.3333333333333335
"[2, 20, 5, 0]",3.3333333333333335
"[2, 20, 6, 0]",3.3333333333333335
"[2, 21, 1, 0]",3.3333333333333335
"[2, 21, 2, 0]",6.666666666666667
"[2, 21, 3, 0]",3.3333333333333335
"[2, 21, 4, 0]",6.666666666666667
"[2, 21, 5, 0]",3.3333333333333335
"[2, 21, 6, 0]",0
"[2, 22, 1, 0]",3.3333333333333335
"[2, 22, 2, 0]",6.666666666666667
"[2, 22, 3, 0]",6.666666666666667
"[2, 22, 4, 0]",6.666666666666667
"[2, 22, 5, 0]",6.666666666666667
"[2, 22, 6, 0]",6.666666666666667
"[2, 23, 1, 0]",6.666666666666667
"[2, 23, 2, 0]",3.3333333333333335
"[2, 23, 3, 0]",0
"[2, 23, 4, 0]",3.3333333333333335
"[2, 23, 5, 0]",6.666666666666667
"[2, 23, 6, 0]",3.3333333333333335
"[2, 26, 3, 0]",10.0
"[2, 26, 4, 0]",10.0
"[2, 26, 5, 0]",6.666666666666667
"[2, 26, 6, 0]",3.3333333333333335
"[2, 27, 1, 0]",3.3333333333333335
"[2, 27, 2, 0]",3.3333333333333335
"[3, 4, 1, 0]",3.3333333333333335
"[3, 4, 2, 0]",0
"[3, 4, 5, 0]",3.3333333333333335
"[3, 4, 6, 0]",3.3333333333333335
"[3, 5, 1, 0]",3.3333333333333335
"[3, 5, 2, 0]",3.3333333333333335
"[3, 5, 3, 0]",3.3333333333333335
"[3, 5, 4, 0]",6.666666666666667
"[3, 5, 5, 0]",0
"[3, 5, 6, 0]",3.3333333333333335
"[3, 6, 1, 0]",6.666666666666667
"[3, 6, 2, 0]",0
"[3, 6, 3, 0]",6.666666666666667
"[3, 6, 4, 0]",0
"[3, 6, 5, 0]",0
"[3, 6, 6, 0]",0
"[3, 7, 1, 0]",6.666666666666667
"[3, 7, 5, 0]",0
"[3, 7, 6, 0]",0
"[3, 10, 1, 0]",0
"[3, 10, 5, 0]",0
"[3, 10, 6, 0]",0
"[3, 11, 1, 0]",3.3333333333333335
"[3, 11, 2, 0]",0
"[3, 11, 3, 0]",0
"[3, 11, 4, 0]",6.666666666666667
"[3, 11, 5, 0]",6.666666666666667
"[3, 11, 6, 0]",3.3333333333333335
"[3, 12, 1, 0]",6.666666666666667
"[3, 12, 2, 0]",6.666666666666667
"[3, 12, 4, 0]",0
"[3, 12, 5, 0]",0
"[3, 12, 6, 0]",6.666666666666667
"[3, 13, 6, 0]",0
"[3, 14, 1, 0]",0
"[3, 14, 2, 0]",6.666666666666667
"[3, 14, 3, 0]",0
"[3, 14, 4, 0]",0
"[3, 14, 5, 0]",0
"[3, 14, 6, 0]",0
"[3, 15, 1, 0]",6.666666666666667
"[3, 15, 2, 0]",0
"[3, 15, 4, 0]",3.3333333333333335
"[3, 15, 5, 0]",3.3333333333333335
"[3, 15, 6, 0]",3.3333333333333335
"[3, 16, 1, 0]",0
"[3, 16, 2, 0]",3.3333333333333335
"[3, 16, 3, 0]",6.666666666666667
"[3, 16, 4, 0]",6.666666666666667
"[3, 16, 5, 0]",6.666666666666667
"[3, 16, 6, 0]",3.3333333333333335
"[3, 17, 1, 0]",0
"[3, 17, 2, 0]",6.666666666666667
"[3, 17, 5, 0]",10.0
"[3, 17, 6, 0]",6.666666666666667
"[3, 18, 1, 0]",3.3333333333333335
"[3, 18, 2, 0]",6.666666666666667
"[3, 18, 3, 0]",3.3333333333333335
"[3, 18, 4, 0]",6.666666666666667
"[3, 18, 5, 0]",6.666666666666667
"[3, 18, 6, 0]",0
"[3, 19, 1, 0]",3.3333333333333335
"[3, 19, 2, 0]",6.666666666666667
"[3, 19, 3, 0]",0
"[3, 19, 4, 0]",3.3333333333333335
"[3, 19, 5, 0]",3.3333333333333335
"[3, 19, 6, 0]",3.3333333333333335
"[3, 22, 1, 0]",3.3333333333333335
"[3, 22, 2, 0]",3.3333333333333335
"[3, 22, 3, 0]",6.666666666666667
"[3, 22, 4, 0]",3.3333333333333335
"[3, 22, 5, 0]",0
"[3, 22, 6, 0]",0
"[3, 23, 1, 0]",6.666666666666667
"[3, 23, 2, 0]",3.3333333333333335
"[3, 23, 3, 0]",10.0
"[3, 23, 4, 0]",3.3333333333333335
"[3, 23, 5, 0]",3.3333333333333335
"[3, 23, 6, 0]",0
"[3, 24, 1, 0]",6.666666666666667
"[3, 24, 2, 0]",3.3333333333333335
"[3, 24, 3, 0]",10.0
"[3, 24, 4, 0]",3.3333333333333335
"[3, 24, 5, 0]",6.666666666666667
"[3, 24, 6, 0]",6.666666666666667
"[3, 25, 1, 0]",3.3333333333333335
"[3, 25, 2, 0]",6.666666666666667
"[3, 25, 3, 0]",6.666666666666667
"[3, 25, 4, 0]",6.666666666666667
"[3, 25, 5, 0]",6.666666666666667
"[3, 25, 6, 0]",3.3333333333333335
"[4, 5, 2, 0]",3.3333333333333335
"[4, 5, 3, 0]",0
"[4, 5, 4, 0]",3.3333333333333335
"[4, 5, 6, 0]",0
"[4, 6, 1, 0]",3.3333333333333335
"[4, 6, 6, 0]",6.666666666666667
"[4, 10, 1, 0]",3.3333333333333335
"[4, 10, 2, 0]",6.666666666666667
"[4, 10, 5, 0]",3.3333333333333335
"[4, 10, 6, 0]",0
"[4, 11, 1, 0]",0
"[4, 11, 2, 0]",3.3333333333333335
"[4, 11, 3, 0]",6.666666666666667
"[4, 11, 4, 0]",0
"[4, 11, 5, 0]",6.666666666666667
"[4, 11, 6, 0]",0
"[4, 13, 1, 0]",6.666666666666667
"[4, 13, 3, 0]",3.3333333333333335
"[4, 13, 4, 0]",6.666666666666667
"[4, 13, 6, 0]",6.666666666666667
"[4, 14, 1, 0]",0
"[4, 14, 2, 0]",0
"[4, 14, 4, 0]",0
"[4, 14, 5, 0]",0
"[4, 14, 6, 0]",0
"[4, 15, 1, 0]",0
"[4, 15, 2, 0]",0
"[4, 15, 3, 0]",6.666666666666667
"[4, 15, 4, 0]",6.666666666666667
"[4, 15, 5, 0]",0
"[4, 15, 6, 0]",0
"[4, 16, 1, 0]",6.666666666666667
"[4, 16, 2, 0]",6.666666666666667
"[4, 16, 3, 0]",3.3333333333333335
"[4, 16, 4, 0]",3.3333333333333335
"[4, 16, 5, 0]",6.666666666666667
"[4, 16, 6, 0]",6.666666666666667
"[4, 17, 1, 0]",6.666666666666667
"[4, 17, 2, 0]",0
"[4, 17, 3, 0]",0
"[4, 17, 4, 0]",0
"[4, 17, 5, 0]",6.666666666666667
"[4, 17, 6, 0]",6.666666666666667
"[4, 18, 1, 0]",3.3333333333333335
"[4, 18, 2, 0]",6.666666666666667
"[4, 18, 3, 0]",0
"[4, 18, 4, 0]",6.666666666666667
"[4, 18, 5, 0]",0
"[4, 18, 6, 0]",6.666666666666667
"[4, 19, 1, 0]",6.666666666666667
"[4, 19, 2, 0]",6.666666666666667
"[4, 19, 3, 0]",3.3333333333333335
"[4, 19, 4, 0]",0
"[4, 19, 5, 0]",0
"[4, 19, 6, 0]",0
"[4, 22, 1, 0]",3.3333333333333335
"[4, 22, 2, 0]",0
"[4, 22, 3, 0]",0
"[4, 22, 4, 0]",0
"[4, 22, 5, 0]",6.666666666666667
"[4, 22, 6, 0]",6.666666666666667
"[4, 24, 1, 0]",6.666666666666667
"[4, 24, 2, 0]",6.666666666666667
"[4, 24, 3, 0]",3.3333333333333335
"[4, 24, 4, 0]",3.3333333333333335
"[4, 24, 5, 0]",6.666666666666667
"[4, 24, 6, 0]",3.3333333333333335
"[4, 25, 1, 0]",3.3333333333333335
"[4, 25, 2, 0]",10.0
"[4, 25, 3, 0]",0
"[4, 25, 4, 0]",3.3333333333333335
"[4, 25, 5, 0]",6.666666666666667
"[4, 25, 6, 0]",3.3333333333333335
"[5, 1, 1, 0]",6.666666666666667
"[5, 1, 2, 0]",6.666666666666667
"[5, 1, 3, 0]",6.666666666666667
"[5, 1, 4, 0]",6.666666666666667
"[5, 1, 5, 0]",6.666666666666667
"[5, 1, 6, 0]",10.0
"[5, 2, 1, 0]",3.3333333333333335
"[5, 2, 2, 0]",3.3333333333333335
"[5, 2, 3, 0]",3.3333333333333335
"[5, 2, 4, 0]",3.3333333333333335
"[5, 2, 5, 0]",6.666666666666667
"[5, 2, 6, 0]",10.0
"[5, 3, 2, 0]",6.666666666666667
"[5, 3, 3, 0]",3.3333333333333335
"[5, 3, 4, 0]",10.0
"[5, 3, 5, 0]",6.666666666666667
"[5, 3, 6, 0]",3.3333333333333335
"[5, 6, 1, 0]",6.666666666666667
"[5, 6, 2, 0]",6.666666666666667
"[5, 7, 1, 0]",6.666666666666667
"[5, 7, 2, 0]",3.3333333333333335
"[5, 7, 3, 0]",6.666666666666667
"[5, 7, 4, 0]",3.3333333333333335
"[5, 7, 5, 0]",0
"[5, 7, 6, 0]",3.3333333333333335
"[5, 10, 1, 0]",6.666666666666667
"[5, 10, 2, 0]",6.666666666666667
"[5, 10, 3, 0]",3.3333333333333335
"[5, 10, 4, 0]",10.0
"[5, 10, 5, 0]",6.666666666666667
"[5, 10, 6, 0]",6.666666666666667
"[5, 11, 1, 0]",10.0
"[5, 11, 2, 0]",6.666666666666667
"[5, 11, 3, 0]",6.666666666666667
"[5, 11, 4, 0]",3.3333333333333335
"[5, 11, 5, 0]",6.666666666666667
"[5, 11, 6, 0]",0
"[5, 12, 1, 0]",0
"[5, 12, 2, 0]",3.3333333333333335
"[5, 12, 3, 0]",6.666666666666667
"[5, 12, 4, 0]",0
"[5, 12, 5, 0]",6.666666666666667
"[5, 12, 6, 0]",3.3333333333333335
"[5, 14, 1, 0]",6.666666666666667
"[5, 14, 2, 0]",6.666666666666667
"[5, 14, 3, 0]",6.666666666666667
"[5, 14, 4, 0]",3.3333333333333335
"[5, 14, 5, 0]",6.666666666666667
"[5, 14, 6, 0]",3.3333333333333335
"[5, 15, 1, 0]",6.666666666666667
"[5, 15, 2, 0]",3.3333333333333335
"[5, 15, 3, 0]",6.666666666666667
"[5, 15, 4, 0]",3.3333333333333335
"[5, 15, 5, 0]",0
"[5, 15, 6, 0]",3.3333333333333335
"[5, 16, 1, 0]",0
"[5, 16, 2, 0]",3.3333333333333335
"[5, 16, 3, 0]",3.3333333333333335
"[5, 16, 4, 0]",3.3333333333333335
"[5, 16, 5, 0]",3.3333333333333335
"[5, 16, 6, 0]",6.666666666666667
"[5, 17, 1, 0]",3.3333333333333335
"[5, 17, 4, 0]",3.3333333333333335
"[5, 17, 5, 0]",3.3333333333333335
"[5, 17, 6, 0]",6.666666666666667
"[5, 18, 1, 0]",6.666666666666667
"[5, 18, 2, 0]",3.3333333333333335
"[5, 18, 3, 0]",0
"[5, 18, 4, 0]",3.3333333333333335
"[5, 18, 5, 0]",3.3333333333333335
"[5, 18, 6, 0]",3.3333333333333335
"[5, 22, 1, 0]",3.3333333333333335
"[5, 22, 2, 0]",3.3333333333333335
"[5, 22, 3, 0]",6.666666666666667
"[5, 22, 4, 0]",3.3333333333333335
"[5, 22, 5, 0]",10.0
"[5, 22, 6, 0]",3.3333333333333335
"[5, 24, 2, 0]",3.3333333333333335
"[5, 24, 3, 0]",3.3333333333333335
"[5, 24, 4, 0]",3.3333333333333335
"[5, 24, 5, 0]",3.3333333333333335
"[5, 24, 6, 0]",3.3333333333333335
"[5, 25, 1, 0]",3.3333333333333335
"[5, 25, 2, 0]",3.3333333333333335
"[5, 25, 5, 0]",6.666666666666667
"[5, 25, 6, 0]",6.666666666666667
"[6, 1, 1, 0]",3.3333333333333335
"[6, 1, 2, 0]",6.666666666666667
"[6, 1, 3, 0]",6.666666666666667
"[6, 1, 4, 0]",6.666666666666667
"[6, 1, 5, 0]",6.666666666666667
"[6, 1, 6, 0]",6.666666666666667
"[6, 4, 1, 0]",10.0
"[6, 4, 2, 0]",3.3333333333333335
"[6, 4, 3, 0]",3.3333333333333335
"[6, 4, 4, 0]",6.666666666666667
"[6, 4, 5, 0]",3.3333333333333335
"[6, 4, 6, 0]",3.3333333333333335
"[6, 5, 1, 0]",3.3333333333333335
"[6, 6, 1, 0]",3.3333333333333335
"[6, 6, 2, 0]",3.3333333333333335
"[6, 6, 3, 0]",3.3333333333333335
"[6, 6, 4, 0]",3.3333333333333335
"[6, 6, 5, 0]",6.666666666666667
"[6, 6, 6, 0]",3.3333333333333335
"[6, 7, 1, 0]",3.3333333333333335
"[6, 10, 1, 0]",3.3333333333333335
"[6, 10, 2, 0]",3.3333333333333335
"[6, 10, 3, 0]",0
"[6, 10, 5, 0]",3.3333333333333335
"[6, 10, 6, 0]",0
"[6, 11, 1, 0]",3.3333333333333335
"[6, 11, 4, 0]",0
"[6, 11, 5, 0]",0
"[6, 11, 6, 0]",6.666666666666667
"[6, 12, 1, 0]",6.666666666666667
"[6, 12, 2, 0]",6.666666666666667
"[6, 12, 3, 0]",3.3333333333333335
"[6, 12, 4, 0]",3.3333333333333335
"[6, 12, 5, 0]",0
"[6, 12, 6, 0]",6.666666666666667
"[6, 13, 1, 0]",10.0
"[6, 13, 2, 0]",3.3333333333333335
"[6, 13, 4, 0]",3.3333333333333335
"[6, 13, 5, 0]",6.666666666666667
"[6, 13, 6, 0]",3.3333333333333335
"[6, 14, 2, 0]",3.3333333333333335
"[6, 14, 3, 0]",6.666666666666667
"[6, 14, 4, 0]",0
"[6, 14, 5, 0]",0
"[6, 14, 6, 0]",0
"[6, 15, 1, 0]",6.666666666666667
"[6, 15, 2, 0]",6.666666666666667
"[6, 15, 3, 0]",3.3333333333333335
"[6, 15, 4, 0]",6.666666666666667
"[6, 15, 5, 0]",10.0
"[6, 15, 6, 0]",3.3333333333333335
"[6, 16, 1, 0]",3.3333333333333335
"[6, 16, 2, 0]",10.0
"[6, 16, 3, 0]",3.3333333333333335
"[6, 16, 4, 0]",6.666666666666667
"[6, 16, 6, 0]",3.3333333333333335
"[6, 17, 1, 0]",3.3333333333333335
"[6, 17, 2, 0]",3.3333333333333335
"[6, 17, 3, 0]",3.3333333333333335
"[6, 17, 4, 0]",6.666666666666667
"[6, 17, 5, 0]",3.3333333333333335
"[6, 17, 6, 0]",6.666666666666667
"[6, 18, 1, 0]",3.3333333333333335
"[6, 19, 1, 0]",3.3333333333333335
"[6, 19, 5, 0]",3.3333333333333335
"[6, 19, 6, 0]",6.666666666666667
"[6, 22, 1, 0]",6.666666666666667
"[6, 22, 2, 0]",3.3333333333333335
"[6, 22, 3, 0]",0
"[6, 22, 4, 0]",3.3333333333333335
"[6, 22, 5, 0]",3.3333333333333335
"[6, 22, 6, 0]",3.3333333333333335
"[7, 1, 1, 0]",3.3333333333333335
"[7, 1, 2, 0]",3.3333333333333335
"[7, 1, 3, 0]",6.666666666666667
"[7, 1, 4, 0]",3.3333333333333335
"[7, 1, 5, 0]",3.3333333333333335
"[7, 1, 6, 0]",6.666666666666667
"[7, 2, 1, 0]",6.666666666666667
"[7, 3, 1, 0]",0
"[7, 3, 2, 0]",6.666666666666667
"[7, 3, 3, 0]",3.3333333333333335
"[7, 3, 4, 0]",0
"[7, 3, 5, 0]",3.3333333333333335
"[7, 3, 6, 0]",6.666666666666667
"[7, 4, 1, 0]",10.0
"[7, 4, 2, 0]",0
"[7, 4, 3, 0]",6.666666666666667
"[7, 4, 4, 0]",6.666666666666667
"[7, 4, 5, 0]",3.3333333333333335
"[7, 4, 6, 0]",3.3333333333333335
"[7, 5, 1, 0]",0
"[7, 5, 2, 0]",6.666666666666667
"[7, 5, 3, 0]",0
"[7, 5, 4, 0]",6.666666666666667
"[7, 5, 5, 0]",6.666666666666667
"[7, 5, 6, 0]",6.666666666666667
"[7, 6, 1, 0]",3.3333333333333335
"[7, 6, 2, 0]",0
"[7, 6, 3, 0]",6.666666666666667
"[7, 6, 4, 0]",3.3333333333333335
"[7, 7, 1, 0]",3.3333333333333335
"[7, 7, 2, 0]",6.666666666666667
"[7, 7, 3, 0]",0
"[7, 7, 4, 0]",0
"[7, 7, 5, 0]",6.666666666666667
"[7, 7, 6, 0]",0
"[7, 8, 2, 0]",0
"[7, 8, 4, 0]",6.666666666666667
"[7, 8, 5, 0]",0
"[7, 8, 6, 0]",0
"[7, 9, 1, 0]",6.666666666666667
"[7, 9, 2, 0]",3.3333333333333335
"[7, 9, 3, 0]",6.666666666666667
"[7, 9, 4, 0]",6.666666666666667
"[7, 9, 5, 0]",3.3333333333333335
"[7, 9, 6, 0]",6.666666666666667
"[7, 10, 1, 0]",6.666666666666667
"[7, 10, 2, 0]",0
"[7, 10, 3, 0]",10.0
"[7, 10, 4, 0]",6.666666666666667
"[7, 10, 5, 0]",6.666666666666667
"[7, 10, 6, 0]",3.3333333333333335
"[7, 11, 1, 0]",3.3333333333333335
"[7, 11, 2, 0]",6.666666666666667
"[7, 12, 1, 0]",6.666666666666667
"[7, 12, 2, 0]",6.666666666666667
"[7, 12, 3, 0]",6.666666666666667
"[7, 15, 1, 0]",10.0
"[7, 15, 2, 0]",6.666666666666667
"[7, 15, 4, 0]",3.3333333333333335
"[7, 15, 5, 0]",3.3333333333333335
"[7, 15, 6, 0]",0
"[7, 16, 1, 0]",3.3333333333333335
"[7, 16, 2, 0]",3.3333333333333335
"[7, 16, 3, 0]",6.666666666666667
"[7, 16, 4, 0]",3.3333333333333335
"[7, 16, 5, 0]",10.0
"[7, 16, 6, 0]",6.666666666666667
"[7, 17, 1, 0]",6.666666666666667
"[7, 17, 2, 0]",6.666666666666667
"[7, 17, 4, 0]",3.3333333333333335
"[7, 17, 5, 0]",0
"[7, 17, 6, 0]",3.3333333333333335
"[8, 3, 1, 0]",6.666666666666667
"[8, 3, 2, 0]",6.666666666666667
"[8, 3, 3, 0]",0
"[8, 3, 4, 0]",3.3333333333333335
"[8, 3, 5, 0]",10.0
"[8, 3, 6, 0]",3.3333333333333335
"[8, 4, 1, 0]",3.3333333333333335
"[8, 4, 2, 0]",0
"[8, 4, 3, 0]",3.3333333333333335
"[8, 4, 4, 0]",0
"[8, 4, 5, 0]",3.3333333333333335
"[8, 5, 1, 0]",6.666666666666667
"[8, 5, 3, 0]",6.666666666666667
"[8, 5, 4, 0]",0
"[8, 5, 5, 0]",3.3333333333333335
"[8, 5, 6, 0]",0
"[8, 6, 1, 0]",6.666666666666667
"[8, 6, 2, 0]",3.3333333333333335
"[8, 6, 4, 0]",6.666666666666667
"[8, 6, 5, 0]",3.3333333333333335
